DateTime,co2_concentration,air_temperature,relative_humidity,apt_no,room_no,kitchen,livingroom,bedroom,office,kitchen_livingroom,room_type,floor_area,Hour of the day,Day number of the week,window_opening_gt,occupancy_ground_truth
30-01-23 08:15,693.9987,20.55955,36.889043,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:20,,,,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:25,698.9481,20.59935,36.953786,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:30,700.5979,20.59935,37.046276,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:35,698.9481,20.59935,37.212758,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:40,715.4461,20.6491,37.397738,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:45,717.0959,20.6292,37.508726,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:50,733.5939,20.65905,37.56422,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 08:55,741.018,20.67895,37.638212,1,1,0,0,1,0,0,1,16,8,1,0,0
30-01-23 09:00,741.8429,20.669,37.7492,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:05,749.267,20.71875,37.813943,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:10,722.0453,20.7088,37.860188,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:15,745.9674,20.7088,37.915682,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:20,,,,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:25,783.0879,20.7486,38.02667,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:30,764.1152,20.77845,38.02667,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:35,778.1385,20.77845,38.02667,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:40,769.0646,20.7884,38.063666,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:45,779.7883,20.77845,38.137658,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:50,798.761,20.7685,37.924931,1,1,0,0,1,0,0,1,16,9,1,0,0
30-01-23 09:55,764.1152,20.7685,37.675208,1,1,0,0,1,0,0,1,16,9,1,0,0
