co2_concentration,air_temperature,relative_humidity,kitchen,livingroom,bedroom,office,kitchen_livingroom,day_sin,day_cos,hour_sin,hour_cos
741.018,20.89121667,42.376783,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,0.707106781
728.3695333,20.90614167,42.472356,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,0.707106781
733.3189333,20.92106667,42.438443,0,0,1,0,0,0.433883739,-0.900968868,0.707106781,0.707106781
706.0972333,20.91775,42.429194,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,0.5
722.3202667,20.9277,42.441526,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,0.5
723.1451667,20.96086667,42.367534,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,0.5
694.2736667,20.95755,42.355202,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,0.5
696.7483667,20.96418333,42.386032,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,0.258819045
707.7470333,20.97745,42.367534,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,0.258819045
710.4967,20.9874,42.370617,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,0.258819045
693.4487667,21.00066667,42.367534,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,0.258819045
702.2477,21.01061667,42.386032,0,0,1,0,0,0.433883739,-0.900968868,1,6.12E-17
718.4707333,21.01725,42.379866,0,0,1,0,0,0.433883739,-0.900968868,1,6.12E-17
711.4590833,21.05041667,42.398364,0,0,1,0,0,0.433883739,-0.900968868,1,6.12E-17
728.6445,21.067,42.398364,0,0,1,0,0,0.433883739,-0.900968868,1,6.12E-17
763.2903,21.05373333,42.706664,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,-0.258819045
770.7144,20.97081667,42.9903,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,-0.258819045
727.40715,20.95091667,42.8870195,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,-0.258819045
732.2190667,20.9277,43.095122,0,0,1,0,0,0.433883739,-0.900968868,0.965925826,-0.258819045
715.9960333,20.93101667,43.129035,0,0,1,0,0,0.433883739,-0.900968868,0.866025404,-0.5
